UF;Cidade;vendas;produtos;itens;venda_total;ticket_medio;mes;cancelada;periodo
MG;Santa Bárbara do Leste;16;215;623;3374,59;210,91;202301;FALSO;2023-01-01 00:00:00
MG;Santa Rita de Minas;6;66;239;1412,34;235,39;202301;FALSO;2023-01-01 00:00:00
MG;Manhuaçu;2;73;146;1159,57;579,79;202301;FALSO;2023-01-01 00:00:00
MG;Martins Soares;2;113;240;1119,81;559,91;202301;FALSO;2023-01-01 00:00:00
MG;Inhapim;1;1;2;111;111;202301;FALSO;2023-01-01 00:00:00
MG;Ipanema;1637;34655;68438;425958,46;260,21;202302;FALSO;2023-02-01 00:00:00
MG;Pocrane;195;4077;12199;70178,25;359,89;202302;FALSO;2023-02-01 00:00:00
MG;Taparuba;104;3308;6989;44918,55;431,91;202302;FALSO;2023-02-01 00:00:00
MG;Conceição de Ipanema;100;2949;6281;44209,67;442,1;202302;FALSO;2023-02-01 00:00:00
MG;Santana do Manhuaçu;153;4567;9949;63797,48;416,98;202302;FALSO;2023-02-01 00:00:00
MG;Simonésia;316;8101;16770;100437,86;317,84;202302;FALSO;2023-02-01 00:00:00
MG;Manhuaçu;182;4147;11202;74548,88;409,61;202302;FALSO;2023-02-01 00:00:00
MG;São José do Mantimento;72;2391;5368;35374,7;491,32;202302;FALSO;2023-02-01 00:00:00
MG;Reduto;14;288;1444;5697,96;407;202302;FALSO;2023-02-01 00:00:00
MG;Aimorés;221;5800;13730;79615,88;360,25;202302;FALSO;2023-02-01 00:00:00
MG;Expedicionário Alício;80;2180;6505;40182,95;502,29;202302;FALSO;2023-02-01 00:00:00
MG;Conceição do Capim;60;1629;3441;24734,84;412,25;202302;FALSO;2023-02-01 00:00:00
MG;Resplendor;272;5701;13685;83623,38;307,44;202302;FALSO;2023-02-01 00:00:00
MG;Itueta;96;2817;5816;37626,59;391,94;202302;FALSO;2023-02-01 00:00:00
MG;Quatituba;55;1261;3465;20585;374,27;202302;FALSO;2023-02-01 00:00:00
ES;Baixo Guandu;170;3589;8360;54283,45;319,31;202302;FALSO;2023-02-01 00:00:00
MG;Caratinga;6;78;525;2358,52;393,09;202302;FALSO;2023-02-01 00:00:00
MG;Piedade de Caratinga;4;49;101;851,55;212,89;202302;FALSO;2023-02-01 00:00:00
MG;SÃO JOÃO DO JACUTINGA;2;52;104;735,61;367,81;202302;FALSO;2023-02-01 00:00:00
MG;SANTO ANTÔNIO DO MANHUAÇU;61;1279;4071;23489;385,07;202302;FALSO;2023-02-01 00:00:00
MG;Penha do Capim;41;1117;4504;31165,66;760,14;202302;FALSO;2023-02-01 00:00:00
MG;Santa Bárbara do Leste;11;169;526;2731,26;248,3;202302;FALSO;2023-02-01 00:00:00
MG;Santa Rita de Minas;3;64;190;856,9;285,63;202302;FALSO;2023-02-01 00:00:00
MG;Manhuaçu;6;99;204;1385,73;230,96;202302;FALSO;2023-02-01 00:00:00
MG;Martins Soares;3;95;200;1099,27;366,42;202302;FALSO;2023-02-01 00:00:00
MG;Manhumirim;3;46;129;572,33;190,78;202302;FALSO;2023-02-01 00:00:00
MG;Ubaporanga;1;25;40;366,37;366,37;202302;FALSO;2023-02-01 00:00:00
MG;Inhapim;1;2;5;51,06;51,06;202302;FALSO;2023-02-01 00:00:00
